r1,p1,zs1,ia1,shr1,reg1,r2,p2,zs2,ia2,shr2,reg2,model
3.25,160.77,0.00,17.11,0.00,f,3.38,155.31,0.01,16.59,0.00,e,222
3.51,162.33,0.00,27.45,0.00,f,3.26,145.81,1.22,26.81,0.00,g,223
3.30,150.44,0.00,21.71,0.00,g,3.35,151.61,2.78,21.41,0.00,b,224
3.64,144.12,0.00,12.70,0.00,g,3.39,166.11,-4.81,12.62,0.00,c,225
3.33,150.20,0.00,10.00,0.00,g,3.72,178.75,3.11,10.00,0.00,e,226
3.74,142.93,0.00,10.00,0.00,g,3.28,160.69,-0.21,11.10,0.00,g,227
3.48,168.81,0.00,25.66,0.00,e,3.32,148.15,-0.21,25.65,0.00,b,228
3.35,163.04,0.00,20.20,0.00,e,3.28,162.78,4.37,20.09,0.00,c,229
3.29,144.23,0.00,20.07,0.00,e,3.35,142.65,1.34,19.48,0.00,e,230
3.28,159.86,0.00,29.97,0.00,e,3.47,147.91,2.74,29.97,0.00,g,231
3.25,149.39,0.00,10.31,0.00,f,3.76,176.98,-1.44,10.01,0.00,b,232
3.36,154.61,0.00,21.86,0.00,f,3.30,156.18,2.74,21.62,0.00,c,233
3.44,151.83,0.00,21.92,0.00,f,3.25,150.99,-0.37,21.66,0.00,e,234
3.25,153.46,0.00,10.02,0.00,f,3.77,180.29,1.59,10.00,0.00,g,235
3.41,150.79,0.00,10.01,0.00,g,3.66,182.78,-2.97,10.02,0.00,b,236
3.25,165.98,0.00,21.60,0.00,g,3.42,165.68,1.29,21.42,0.00,c,237
3.31,148.31,0.00,17.63,0.00,g,3.31,144.93,-1.53,17.20,0.00,e,238
3.51,143.44,0.00,26.20,0.00,g,3.25,143.07,5.00,26.74,0.00,g,239
3.50,161.83,0.00,26.63,0.00,e,3.29,143.55,-0.25,26.05,0.00,b,240
3.43,170.66,0.00,20.96,0.00,e,3.25,167.43,4.27,20.73,0.00,c,241
3.25,145.27,0.00,24.11,0.00,e,3.45,148.00,1.15,23.71,0.00,e,242
3.41,166.23,0.00,19.60,0.00,e,3.25,162.60,-1.68,19.35,0.00,g,243
3.37,130.70,0.00,21.14,0.00,f,3.25,132.42,4.25,21.08,0.00,b,244
3.43,152.11,0.00,23.06,0.00,f,3.27,153.63,2.58,22.89,0.00,c,245
3.51,152.79,0.00,28.03,0.00,f,3.27,138.44,4.25,26.24,0.00,e,246
3.33,136.11,0.00,22.41,0.00,f,3.30,140.72,-3.26,22.48,0.00,g,247
3.27,150.73,0.00,20.02,0.00,g,3.35,150.83,2.91,19.64,0.00,b,248
3.27,145.59,0.00,19.17,0.00,g,3.38,143.19,1.37,19.08,0.00,c,249
3.40,134.94,0.00,21.55,0.00,g,3.25,135.79,-1.80,21.22,0.00,e,250
3.26,161.27,0.00,30.00,0.00,g,3.48,149.03,-0.26,30.00,0.00,g,251
3.53,154.09,0.00,10.00,0.00,e,3.48,182.26,-0.10,10.01,0.00,b,252
3.31,155.63,0.00,17.79,0.00,e,3.35,150.82,4.44,17.54,0.00,c,253
3.38,153.34,0.00,21.62,0.00,e,3.27,156.33,1.25,21.50,0.00,e,254
3.43,157.03,0.00,21.50,0.00,e,3.25,155.97,-1.81,21.33,0.00,g,255
3.63,151.70,0.00,10.00,0.00,f,3.39,180.61,-1.69,10.00,0.00,b,256
3.35,141.19,0.00,19.94,0.00,f,3.26,141.62,2.85,19.69,0.00,c,257
3.34,151.75,0.00,21.27,0.00,f,3.30,154.12,-0.20,21.07,0.00,e,258
3.25,158.40,0.00,21.81,0.00,f,3.41,159.12,-3.20,21.59,0.00,g,259
3.43,157.67,0.00,23.53,0.00,g,3.25,165.17,2.69,23.63,0.00,b,260
3.66,157.13,0.00,30.00,0.00,g,3.25,140.22,5.00,30.00,0.00,c,261
3.48,163.70,0.00,30.00,0.00,g,3.25,150.86,2.64,29.93,0.00,e,262
3.33,148.77,0.00,10.07,0.00,g,3.69,171.89,0.01,10.11,0.00,g,263
3.45,140.68,0.00,29.51,0.00,e,3.29,130.82,-0.35,29.65,0.00,b,264
3.60,152.44,0.00,10.00,0.00,e,3.44,182.19,-1.64,10.00,0.00,c,265
3.35,145.56,0.00,21.76,0.00,e,3.30,147.29,1.24,21.49,0.00,e,266
3.41,144.92,0.00,21.56,0.00,e,3.25,146.08,-1.80,21.42,0.00,g,267
3.50,148.92,0.00,10.00,0.00,f,3.54,178.45,-1.54,10.00,0.00,b,268
3.43,159.53,0.00,24.28,0.00,f,3.25,168.54,2.66,24.46,0.00,c,269
3.39,153.42,0.00,19.98,0.00,f,3.25,151.90,-0.17,19.59,0.00,e,270
3.43,174.07,0.00,28.70,0.00,f,3.34,156.21,1.25,27.70,0.00,g,271
3.29,156.08,0.00,20.53,0.00,g,3.35,155.50,2.84,20.16,0.00,b,272
3.32,149.83,0.00,19.05,0.00,g,3.56,128.48,-4.42,18.84,0.00,c,273
3.25,146.55,0.00,10.17,0.00,g,3.81,175.54,3.15,10.03,0.00,e,274
3.32,153.39,0.00,10.00,0.00,g,3.69,180.14,0.02,10.00,0.00,g,275
3.50,168.27,0.00,28.48,0.00,e,3.25,151.78,-0.40,28.38,0.00,b,276
3.39,166.35,0.00,18.94,0.00,e,3.26,162.71,4.37,18.64,0.00,c,277
3.38,154.02,0.00,18.45,0.00,e,3.25,150.85,1.39,17.86,0.00,e,278
3.40,168.49,0.00,29.99,0.00,e,3.37,153.84,2.73,29.24,0.00,g,279
3.33,148.39,0.00,23.28,0.00,f,3.34,153.63,4.23,23.22,0.00,b,280
3.36,145.89,0.00,25.61,0.00,f,3.44,130.80,-3.15,26.58,0.00,c,281
3.42,161.64,0.00,21.28,0.00,f,3.25,160.01,-0.25,20.95,0.00,e,282
3.25,159.24,0.00,29.91,0.00,f,3.50,146.88,1.28,29.95,0.00,g,283
3.37,155.78,0.00,10.03,0.00,g,3.67,189.72,-2.98,10.03,0.00,b,284
3.38,156.13,0.00,19.84,0.00,g,3.25,157.42,1.37,19.68,0.00,c,285
3.29,153.67,0.00,22.24,0.00,g,3.39,153.62,-1.81,21.84,0.00,e,286
3.25,141.20,0.00,10.03,0.00,g,3.80,167.68,0.07,10.04,0.00,g,287
3.26,158.90,0.00,27.71,0.00,e,3.50,156.11,5.00,27.53,0.00,b,288
3.44,142.53,0.00,22.59,0.00,e,3.25,142.54,4.08,22.39,0.00,c,289
3.40,142.14,0.00,23.91,0.00,e,3.25,149.49,1.17,23.82,0.00,e,290
3.49,156.79,0.00,27.74,0.00,e,3.29,141.84,2.75,26.23,0.00,g,291
3.77,153.50,0.00,10.00,0.00,f,3.25,183.99,-1.70,10.00,0.00,b,292
